Nonterminal,tipo_create,tipo_procedure,id,tipo_as,tipo_begin,tipo_insert,tipo_into,tipo_values,puntoycoma,tipo_end,tipo_table,lparen,rparen,tipo_select,tipo_from,tipo_where,tipo_count,tipo_not,tipo_null,tipo_autoincrement,coma,tipo_primarykey,tipo_foreignkey,tipo_reference,comodin,pmarca,mas,menos,divide,menor,mayor,igual,mayorigual,menorigual,number,decimal,tipo_int,tipo_varchar,tipo_decimal,tipo_datetime,$
Z,Z -> B,,,,,,,,,,,,,Z -> B,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,B -> tipo_create CR,,,,,,,,,,,,,B -> tipo_select CMD S,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,,CR -> tipo_procedure id CS,,,,,,,,,CR -> tipo_table id lparen CT rparen puntoycoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS,,,,CS -> tipo_as tipo_begin tipo_insert tipo_into id K tipo_values K puntoycoma tipo_end puntoycoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT,,,CT -> id G WEW WES C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S,,,,,,,,,,,,,,,S -> tipo_from id tipo_where E puntoycoma,,S -> tipo_count tipo_from id tipo_where E puntoycoma,,,,,,,,,,,,,,,,,,,,,,,,
WEW,,,,,,,,,,,,,WEW -> '',,,,,WEW -> tipo_not tipo_null,WEW -> tipo_null,WEW -> '',WEW -> '',,,,,,,,,,,,,,,,,,,,
WES,,,,,,,,,,,,,WES -> '',,,,,,,WES -> tipo_autoincrement,WES -> '',,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,C -> '',,,,,,,,C -> coma TETE D,,,,,,,,,,,,,,,,,,,,
TETE,,,TETE -> id,,,,,,,,,,TETE -> H,,,,,,,,,TETE -> H,TETE -> H,,,,,,,,,,,,,,TETE -> H,TETE -> H,TETE -> H,TETE -> H,
D,,,,,,,,,,,,,D -> '',,,,,,,,,,,,,,,,,,,,,,,,D -> G WR WEW C,D -> G WR WEW C,D -> G WR WEW C,D -> G WR WEW C,
WR,,,,,,,,,,,,WR -> lparen F rparen,WR -> '',,,,,WR -> '',WR -> '',,WR -> '',,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,H -> '',,,,,,,,,H -> tipo_primarykey lparen id rparen H,H -> tipo_foreignkey lparen id rparen tipo_reference id lparen id rparen,,,,,,,,,,,,,,H -> '',H -> '',H -> '',H -> '',
RW,,,,,,,,,,,,RW -> lparen id rparen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,,,,,,,,K -> '',K -> '',,,K -> lparen id U rparen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,,,,,,,,,,,,,U -> '',,U -> '',,U -> '',,,,U -> coma id U,,,,,,,,,,,,,,,,,,,,
CMD,,,CMD -> id U,,,,,,,,,,,,CMD -> '',,CMD -> '',,,,,,,,CMD -> comodin,,,,,,,,,,,,,,,,
W,,,,,,,,,,,,W -> lparen pmarca X rparen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,,,,,,,,,,X -> '',,,,,,,,X -> coma pmarca X,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,L -> coma pmarca J,,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,J -> G L,J -> G L,J -> G L,J -> G L,
E,,,E -> T E',,,,,,,,,E -> T E',,,,,,,,,,,,,,,,,,,,,,,E -> T E',E -> T E',,,,,
E',,,,,,,,,E' -> '',,,,E' -> '',,,,,,,,,,,,,,E' -> mas T E',E' -> menos T E',E' -> divide T E',E' -> menor T E',E' -> mayor T E',E' -> igual T E',E' -> mayorigual T E',E' -> menorigual T E',,,,,,,
T,,,T -> F T',,,,,,,,,T -> F T',,,,,,,,,,,,,,,,,,,,,,,T -> F T',T -> F T',,,,,
T',,,,,,,,,T' -> '',,,,T' -> '',,,,,,,,,,,,,,T' -> '',T' -> '',T' -> '',T' -> '',T' -> '',T' -> '',T' -> '',T' -> '',,,,,,,
F,,,F -> id,,,,,,,,,F -> lparen E rparen,,,,,,,,,,,,,,,,,,,,,,,F -> number,F -> decimal,,,,,
G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G -> tipo_int,G -> tipo_varchar,G -> tipo_decimal,G -> tipo_datetime,
